GRD_NEWIDS,POB
1kmN1999E3171,5
1kmN2000E3167,0
1kmN2000E3168,0
1kmN2001E3161,1945
1kmN2002E3156,130
1kmN2002E3169,0
1kmN2003E3155,460
1kmN2003E3156,13010
1kmN2003E3157,3470
1kmN2003E3168,210
1kmN2003E3173,0
1kmN2004E3141,10
1kmN2004E3142,290
1kmN2004E3143,510
1kmN2004E3144,1765
1kmN2004E3145,305
1kmN2004E3156,11065
1kmN2004E3157,14755
1kmN2004E3158,5085
1kmN2004E3165,2320
1kmN2004E3166,1665
1kmN2004E3167,80
1kmN2004E3168,45
1kmN2005E3137,855
1kmN2005E3138,1780
1kmN2005E3139,160
1kmN2005E3140,20
1kmN2005E3141,0
1kmN2005E3143,160
1kmN2005E3144,675
1kmN2005E3145,125
1kmN2005E3148,720
1kmN2005E3149,1325
1kmN2005E3155,255
1kmN2005E3156,10075
1kmN2005E3157,7745
1kmN2005E3165,4445
1kmN2005E3166,6705
1kmN2005E3167,465
1kmN2006E3131,0
1kmN2006E3137,70
1kmN2006E3138,630
1kmN2006E3139,650
1kmN2006E3140,55
1kmN2006E3141,140
1kmN2006E3142,20
1kmN2006E3143,95
1kmN2006E3144,125
1kmN2006E3146,450
1kmN2006E3147,20
1kmN2006E3148,1135
1kmN2006E3149,850
1kmN2006E3152,100
1kmN2006E3156,2365
1kmN2006E3157,55
1kmN2006E3165,2400
1kmN2006E3166,345
1kmN2007E3136,0
1kmN2007E3139,270
1kmN2007E3140,740
1kmN2007E3141,110
1kmN2007E3142,385
1kmN2007E3143,1405
1kmN2007E3144,1320
1kmN2007E3146,1245
1kmN2007E3147,5275
1kmN2007E3156,615
1kmN2007E3167,40
1kmN2007E3170,100
1kmN2008E3119,455
1kmN2008E3120,125
1kmN2008E3135,35
1kmN2008E3140,40
1kmN2008E3141,0
1kmN2008E3142,905
1kmN2008E3143,915
1kmN2008E3145,55
1kmN2008E3147,450
1kmN2008E3148,35
1kmN2008E3151,350
1kmN2008E3159,0
1kmN2008E3170,50
1kmN2009E3126,525
1kmN2009E3127,1760
1kmN2009E3135,55
1kmN2009E3136,25
1kmN2009E3139,50
1kmN2009E3140,2590
1kmN2009E3141,850
1kmN2009E3142,610
1kmN2009E3143,3415
1kmN2009E3144,230
1kmN2009E3145,20
1kmN2009E3149,930
1kmN2009E3150,2220
1kmN2009E3151,11355
1kmN2009E3152,140
1kmN2010E3121,0
1kmN2010E3126,130
1kmN2010E3127,725
1kmN2010E3131,0
1kmN2010E3135,0
1kmN2010E3137,675
1kmN2010E3141,0
1kmN2010E3142,2135
1kmN2010E3143,2910
1kmN2010E3145,45
1kmN2010E3149,3390
1kmN2010E3150,24160
1kmN2010E3151,11825
1kmN2010E3152,2795
1kmN2010E3155,1180
1kmN2010E3156,16180
1kmN2010E3157,3395
1kmN2010E3160,50
1kmN2011E3130,35
1kmN2011E3137,10
1kmN2011E3149,5370
1kmN2011E3150,35585
1kmN2011E3151,14850
1kmN2011E3155,45
1kmN2011E3156,14120
1kmN2011E3157,5165
1kmN2012E3122,910
1kmN2012E3123,2895
1kmN2012E3129,25
1kmN2012E3130,45
1kmN2012E3137,205
1kmN2012E3144,60
1kmN2012E3150,8620
1kmN2012E3151,235
1kmN2012E3156,4205
1kmN2012E3157,1600
1kmN2012E3166,155
1kmN2013E3122,45
1kmN2013E3123,280
1kmN2013E3130,180
1kmN2013E3131,2120
1kmN2013E3132,2010
1kmN2013E3145,6160
1kmN2013E3146,5140
1kmN2013E3147,345
1kmN2013E3160,115
1kmN2014E3121,0
1kmN2014E3124,0
1kmN2014E3130,210
1kmN2014E3131,2465
1kmN2014E3132,1220
1kmN2014E3135,15
1kmN2014E3136,175
1kmN2014E3137,240
1kmN2014E3143,245
1kmN2014E3144,30
1kmN2014E3145,110
1kmN2014E3146,6575
1kmN2014E3147,470
1kmN2014E3149,0
1kmN2014E3170,115
1kmN2015E3135,50
1kmN2015E3136,165
1kmN2015E3141,20
1kmN2015E3142,230
1kmN2015E3143,2565
1kmN2015E3144,1515
1kmN2015E3147,20
1kmN2015E3148,4660
1kmN2015E3149,5455
1kmN2015E3152,210
1kmN2015E3153,745
1kmN2015E3173,10
1kmN2015E3174,15
1kmN2015E3175,15
1kmN2016E3117,10
1kmN2016E3125,410
1kmN2016E3126,640
1kmN2016E3137,185
1kmN2016E3138,4925
1kmN2016E3139,1190
1kmN2016E3140,140
1kmN2016E3141,150
1kmN2016E3142,45
1kmN2016E3147,1835
1kmN2016E3148,27435
1kmN2016E3149,24650
1kmN2016E3150,5310
1kmN2016E3152,4415
1kmN2016E3153,5840
1kmN2016E3154,255
1kmN2016E3161,100
1kmN2016E3173,925
1kmN2016E3174,240
1kmN2017E3125,535
1kmN2017E3126,660
1kmN2017E3127,155
1kmN2017E3135,0
1kmN2017E3136,75
1kmN2017E3137,145
1kmN2017E3138,4625
1kmN2017E3139,2315
1kmN2017E3140,70
1kmN2017E3147,4180
1kmN2017E3148,26725
1kmN2017E3149,29545
1kmN2017E3150,12570
1kmN2017E3152,1805
1kmN2017E3153,4770
1kmN2017E3154,13460
1kmN2017E3155,6960
1kmN2017E3173,4960
1kmN2017E3174,3475
1kmN2018E3131,0
1kmN2018E3135,0
1kmN2018E3137,100
1kmN2018E3138,2570
1kmN2018E3139,2495
1kmN2018E3145,8900
1kmN2018E3146,9070
1kmN2018E3147,345
1kmN2018E3148,19810
1kmN2018E3149,5400
1kmN2018E3153,40
1kmN2018E3154,21445
1kmN2018E3155,28960
1kmN2018E3156,21020
1kmN2018E3159,0
1kmN2018E3160,340
1kmN2018E3161,3025
1kmN2018E3162,1300
1kmN2018E3173,3030
1kmN2019E3130,310
1kmN2019E3131,385
1kmN2019E3132,0
1kmN2019E3139,3205
1kmN2019E3142,45
1kmN2019E3144,340
1kmN2019E3145,4350
1kmN2019E3146,4150
1kmN2019E3149,670
1kmN2019E3150,3120
1kmN2019E3153,2840
1kmN2019E3154,4920
1kmN2019E3155,14560
1kmN2019E3156,15425
1kmN2019E3157,180
1kmN2019E3160,655
1kmN2019E3161,1340
1kmN2019E3166,1510
1kmN2019E3172,2900
1kmN2019E3173,7495
1kmN2020E3129,380
1kmN2020E3130,6010
1kmN2020E3131,6090
1kmN2020E3136,0
1kmN2020E3137,555
1kmN2020E3138,410
1kmN2020E3139,25
1kmN2020E3142,895
1kmN2020E3143,3420
1kmN2020E3144,6870
1kmN2020E3145,220
1kmN2020E3146,2455
1kmN2020E3150,5155
1kmN2020E3151,5955
1kmN2020E3152,17990
1kmN2020E3153,4020
1kmN2020E3154,4165
1kmN2020E3155,5910
1kmN2020E3156,6030
1kmN2020E3157,160
1kmN2020E3158,2670
1kmN2020E3160,70
1kmN2020E3171,1985
1kmN2020E3172,7155
1kmN2020E3173,5625
1kmN2020E3174,1175
1kmN2021E3129,0
1kmN2021E3130,2410
1kmN2021E3131,3290
1kmN2021E3132,670
1kmN2021E3133,1275
1kmN2021E3134,1690
1kmN2021E3137,1200
1kmN2021E3138,3950
1kmN2021E3139,1955
1kmN2021E3142,7200
1kmN2021E3143,28685
1kmN2021E3144,30515
1kmN2021E3145,14430
1kmN2021E3150,765
1kmN2021E3151,3890
1kmN2021E3152,27800
1kmN2021E3153,40365
1kmN2021E3154,21245
1kmN2021E3156,415
1kmN2021E3157,6630
1kmN2021E3158,2070
1kmN2021E3159,14340
1kmN2021E3160,8860
1kmN2021E3167,1485
1kmN2021E3168,340
1kmN2021E3170,2195
1kmN2021E3171,15090
1kmN2021E3172,4235
1kmN2021E3173,1675
1kmN2021E3174,410
1kmN2021E3176,6475
1kmN2022E3122,5
1kmN2022E3123,0
1kmN2022E3128,30
1kmN2022E3129,10
1kmN2022E3131,25
1kmN2022E3132,1860
1kmN2022E3137,115
1kmN2022E3138,875
1kmN2022E3139,660
1kmN2022E3142,11230
1kmN2022E3143,18235
1kmN2022E3144,35640
1kmN2022E3145,11355
1kmN2022E3146,6115
1kmN2022E3147,7890
1kmN2022E3148,0
1kmN2022E3151,2175
1kmN2022E3152,10680
1kmN2022E3153,4325
1kmN2022E3154,17420
1kmN2022E3156,955
1kmN2022E3157,21830
1kmN2022E3158,18415
1kmN2022E3159,28080
1kmN2022E3160,9430
1kmN2022E3165,1010
1kmN2022E3166,2890
1kmN2022E3167,10255
1kmN2022E3168,3095
1kmN2022E3171,4095
1kmN2022E3172,3085
1kmN2022E3173,3910
1kmN2022E3176,750
1kmN2023E3122,440
1kmN2023E3123,1715
1kmN2023E3124,30
1kmN2023E3125,105
1kmN2023E3131,45
1kmN2023E3142,2555
1kmN2023E3143,5865
1kmN2023E3144,14800
1kmN2023E3145,4015
1kmN2023E3146,6245
1kmN2023E3147,30025
1kmN2023E3148,21525
1kmN2023E3149,7890
1kmN2023E3150,740
1kmN2023E3151,1515
1kmN2023E3152,1805
1kmN2023E3153,40
1kmN2023E3157,150
1kmN2023E3158,9915
1kmN2023E3159,20115
1kmN2023E3160,915
1kmN2023E3164,3650
1kmN2023E3165,14725
1kmN2023E3166,7895
1kmN2023E3176,935
1kmN2024E3121,0
1kmN2024E3141,65
1kmN2024E3142,20
1kmN2024E3145,515
1kmN2024E3146,4545
1kmN2024E3147,26490
1kmN2024E3148,28240
1kmN2024E3149,18990
1kmN2024E3150,3060
1kmN2024E3151,8725
1kmN2024E3152,3835
1kmN2024E3153,10140
1kmN2024E3154,6330
1kmN2024E3155,0
1kmN2024E3157,12360
1kmN2024E3158,13855
1kmN2024E3159,21605
1kmN2024E3161,5565
1kmN2024E3162,9835
1kmN2024E3163,1105
1kmN2024E3164,7240
1kmN2024E3165,19890
1kmN2024E3166,21420
1kmN2024E3167,3000
1kmN2024E3170,875
1kmN2024E3176,3650
1kmN2025E3136,65
1kmN2025E3140,115
1kmN2025E3141,1310
1kmN2025E3142,385
1kmN2025E3143,915
1kmN2025E3144,880
1kmN2025E3149,570
1kmN2025E3153,12995
1kmN2025E3154,15965
1kmN2025E3155,11715
1kmN2025E3156,9700
1kmN2025E3157,10555
1kmN2025E3158,7395
1kmN2025E3159,11305
1kmN2025E3160,1445
1kmN2025E3161,26845
1kmN2025E3162,27010
1kmN2025E3163,29855
1kmN2025E3164,19530
1kmN2025E3165,70
1kmN2025E3166,290
1kmN2025E3167,2330
1kmN2026E3130,575
1kmN2026E3131,65
1kmN2026E3140,3580
1kmN2026E3141,7365
1kmN2026E3142,450
1kmN2026E3143,2395
1kmN2026E3144,1270
1kmN2026E3150,75
1kmN2026E3151,65
1kmN2026E3152,18770
1kmN2026E3153,18350
1kmN2026E3154,9905
1kmN2026E3155,20965
1kmN2026E3156,30560
1kmN2026E3157,18810
1kmN2026E3158,34695
1kmN2026E3159,16420
1kmN2026E3160,10105
1kmN2026E3161,14255
1kmN2026E3162,33170
1kmN2026E3163,12675
1kmN2026E3164,14825
1kmN2026E3165,13170
1kmN2026E3166,5265
1kmN2026E3167,23190
1kmN2026E3168,1955
1kmN2026E3172,10
1kmN2026E3174,1545
1kmN2027E3121,5
1kmN2027E3122,205
1kmN2027E3128,95
1kmN2027E3130,3265
1kmN2027E3131,2845
1kmN2027E3132,245
1kmN2027E3133,800
1kmN2027E3140,2330
1kmN2027E3141,710
1kmN2027E3143,470
1kmN2027E3150,280
1kmN2027E3151,3820
1kmN2027E3152,13500
1kmN2027E3153,12400
1kmN2027E3154,30160
1kmN2027E3155,24165
1kmN2027E3156,30065
1kmN2027E3157,27345
1kmN2027E3158,28295
1kmN2027E3159,44405
1kmN2027E3160,13605
1kmN2027E3161,28800
1kmN2027E3162,33095
1kmN2027E3163,18740
1kmN2027E3164,24825
1kmN2027E3165,16500
1kmN2027E3166,10710
1kmN2027E3167,11590
1kmN2027E3168,165
1kmN2027E3170,2340
1kmN2027E3171,1685
1kmN2027E3172,6640
1kmN2027E3173,11030
1kmN2027E3174,15235
1kmN2028E3121,5
1kmN2028E3122,900
1kmN2028E3124,1345
1kmN2028E3125,140
1kmN2028E3127,105
1kmN2028E3128,160
1kmN2028E3132,160
1kmN2028E3133,85
1kmN2028E3139,450
1kmN2028E3140,215
1kmN2028E3152,1480
1kmN2028E3153,21275
1kmN2028E3154,22305
1kmN2028E3155,13850
1kmN2028E3156,13965
1kmN2028E3157,10915
1kmN2028E3158,28705
1kmN2028E3159,41480
1kmN2028E3160,14645
1kmN2028E3161,32040
1kmN2028E3162,21340
1kmN2028E3163,21345
1kmN2028E3164,10340
1kmN2028E3165,6515
1kmN2028E3166,8795
1kmN2028E3167,4985
1kmN2028E3168,395
1kmN2028E3170,13745
1kmN2028E3171,24225
1kmN2028E3172,15365
1kmN2028E3173,21900
1kmN2028E3174,10550
1kmN2029E3122,40
1kmN2029E3123,0
1kmN2029E3132,30
1kmN2029E3138,280
1kmN2029E3139,1025
1kmN2029E3140,560
1kmN2029E3147,0
1kmN2029E3151,425
1kmN2029E3152,3030
1kmN2029E3153,830
1kmN2029E3154,5325
1kmN2029E3155,18350
1kmN2029E3156,27960
1kmN2029E3157,24330
1kmN2029E3158,28905
1kmN2029E3159,28950
1kmN2029E3160,4330
1kmN2029E3161,21870
1kmN2029E3162,16450
1kmN2029E3163,14275
1kmN2029E3164,6040
1kmN2029E3165,15075
1kmN2029E3166,20275
1kmN2029E3167,23020
1kmN2029E3168,5920
1kmN2029E3171,3400
1kmN2029E3173,215
1kmN2029E3174,1325
1kmN2030E3122,5
1kmN2030E3138,445
1kmN2030E3139,475
1kmN2030E3140,1245
1kmN2030E3141,445
1kmN2030E3143,1620
1kmN2030E3144,770
1kmN2030E3147,840
1kmN2030E3150,1180
1kmN2030E3151,7885
1kmN2030E3152,2860
1kmN2030E3157,5905
1kmN2030E3158,12545
1kmN2030E3159,35890
1kmN2030E3160,11380
1kmN2030E3161,33670
1kmN2030E3162,39095
1kmN2030E3163,28960
1kmN2030E3164,38910
1kmN2030E3165,21075
1kmN2030E3166,17480
1kmN2030E3167,18755
1kmN2030E3169,1365
1kmN2030E3170,3945
1kmN2030E3171,545
1kmN2030E3174,410
1kmN2030E3177,20
1kmN2031E3120,0
1kmN2031E3121,0
1kmN2031E3134,10
1kmN2031E3140,260
1kmN2031E3141,260
1kmN2031E3142,5325
1kmN2031E3143,7975
1kmN2031E3144,9260
1kmN2031E3146,185
1kmN2031E3147,1000
1kmN2031E3148,875
1kmN2031E3149,295
1kmN2031E3150,795
1kmN2031E3151,1930
1kmN2031E3152,980
1kmN2031E3156,1075
1kmN2031E3157,7215
1kmN2031E3158,29060
1kmN2031E3159,41520
1kmN2031E3160,21330
1kmN2031E3161,21160
1kmN2031E3162,30280
1kmN2031E3163,27430
1kmN2031E3164,29160
1kmN2031E3165,14785
1kmN2031E3166,3795
